,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
0,Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea
1,Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea
2,Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea
4,Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea
7,Kolhapur,Black,80,55,105,7.0,1100,25,Sugarcane,Urea
8,Kolhapur,Black,85,55,105,7.0,1100,25,Sugarcane,Urea
9,Kolhapur,Black,90,55,105,7.0,1100,25,Sugarcane,Urea
10,Kolhapur,Black,95,55,105,7.0,1100,25,Sugarcane,Urea
12,Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea
13,Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea
14,Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea
16,Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea
18,Kolhapur,Black,75,50,115,6.5,1300,35,Sugarcane,Urea
20,Kolhapur,Black,85,50,115,6.5,1300,35,Sugarcane,Urea
21,Kolhapur,Black,90,50,115,6.5,1300,35,Sugarcane,Urea
22,Kolhapur,Black,95,50,115,6.5,1300,35,Sugarcane,Urea
25,Kolhapur,Black,80,55,100,7.0,1400,20,Sugarcane,DAP
28,Kolhapur,Black,95,55,100,7.0,1400,20,Sugarcane,DAP
32,Kolhapur,Black,85,60,105,7.5,1500,25,Sugarcane,DAP
35,Kolhapur,Black,100,60,105,7.5,1500,25,Sugarcane,DAP
37,Kolhapur,Black,80,50,110,6.5,1000,30,Sugarcane,DAP
38,Kolhapur,Black,85,50,110,6.5,1000,30,Sugarcane,DAP
39,Kolhapur,Black,90,50,110,6.5,1000,30,Sugarcane,DAP
40,Kolhapur,Black,95,50,110,6.5,1000,30,Sugarcane,DAP
41,Kolhapur,Black,100,50,110,6.5,1000,30,Sugarcane,DAP
43,Kolhapur,Black,80,55,115,7.0,1100,35,Sugarcane,DAP
45,Kolhapur,Black,90,55,115,7.0,1100,35,Sugarcane,DAP
46,Kolhapur,Black,95,55,115,7.0,1100,35,Sugarcane,DAP
48,Kolhapur,Black,75,60,100,7.5,1200,20,Sugarcane,MOP
50,Kolhapur,Black,85,60,100,7.5,1200,20,Sugarcane,MOP
55,Kolhapur,Black,80,50,105,6.5,1300,25,Sugarcane,MOP
60,Kolhapur,Black,75,55,110,7.0,1400,30,Sugarcane,MOP
62,Kolhapur,Black,85,55,110,7.0,1400,30,Sugarcane,MOP
63,Kolhapur,Black,90,55,110,7.0,1400,30,Sugarcane,MOP
64,Kolhapur,Black,95,55,110,7.0,1400,30,Sugarcane,MOP
65,Kolhapur,Black,100,55,110,7.0,1400,30,Sugarcane,MOP
67,Kolhapur,Black,80,60,115,7.5,1500,35,Sugarcane,MOP
68,Kolhapur,Black,85,60,115,7.5,1500,35,Sugarcane,MOP
70,Kolhapur,Black,95,60,115,7.5,1500,35,Sugarcane,MOP
71,Kolhapur,Black,100,60,115,7.5,1500,35,Sugarcane,MOP
73,Kolhapur,Black,25,25,25,6.5,600,25,Jowar,10:26:26 NPK
75,Kolhapur,Black,35,25,25,6.5,600,25,Jowar,10:26:26 NPK
76,Kolhapur,Black,40,25,25,6.5,600,25,Jowar,10:26:26 NPK
79,Kolhapur,Black,30,30,30,7.0,700,30,Jowar,10:26:26 NPK
80,Kolhapur,Black,35,30,30,7.0,700,30,Jowar,10:26:26 NPK
81,Kolhapur,Black,40,30,30,7.0,700,30,Jowar,10:26:26 NPK
82,Kolhapur,Black,20,35,35,7.5,800,25,Jowar,10:26:26 NPK
83,Kolhapur,Black,25,35,35,7.5,800,25,Jowar,10:26:26 NPK
85,Kolhapur,Black,35,35,35,7.5,800,25,Jowar,10:26:26 NPK
87,Kolhapur,Black,20,25,40,6.5,600,30,Jowar,10:26:26 NPK
88,Kolhapur,Black,25,25,40,6.5,600,30,Jowar,10:26:26 NPK
91,Kolhapur,Black,40,25,40,6.5,600,30,Jowar,10:26:26 NPK
96,Kolhapur,Black,40,30,25,7.0,700,25,Jowar,Urea
97,Kolhapur,Black,20,35,30,7.5,800,30,Jowar,Urea
102,Kolhapur,Black,20,25,35,6.5,600,25,Jowar,Urea
103,Kolhapur,Black,25,25,35,6.5,600,25,Jowar,Urea
104,Kolhapur,Black,30,25,35,6.5,600,25,Jowar,Urea
106,Kolhapur,Black,40,25,35,6.5,600,25,Jowar,Urea
108,Kolhapur,Black,25,30,40,7.0,700,30,Jowar,Urea
109,Kolhapur,Black,30,30,40,7.0,700,30,Jowar,Urea
110,Kolhapur,Black,35,30,40,7.0,700,30,Jowar,Urea
116,Kolhapur,Black,40,35,25,7.5,800,25,Jowar,SSP
118,Kolhapur,Black,25,25,30,6.5,600,30,Jowar,SSP
120,Kolhapur,Black,35,25,30,6.5,600,30,Jowar,SSP
123,Kolhapur,Black,25,30,35,7.0,700,25,Jowar,SSP
124,Kolhapur,Black,30,30,35,7.0,700,25,Jowar,SSP
126,Kolhapur,Black,40,30,35,7.0,700,25,Jowar,SSP
127,Kolhapur,Black,20,35,40,7.5,800,30,Jowar,SSP
128,Kolhapur,Black,25,35,40,7.5,800,30,Jowar,SSP
130,Kolhapur,Black,35,35,40,7.5,800,30,Jowar,SSP
131,Kolhapur,Black,40,35,40,7.5,800,30,Jowar,SSP
134,Kolhapur,Black,50,20,20,6.0,600,25,Jowar,10:26:26 NPK
136,Kolhapur,Black,45,25,25,6.5,700,30,Jowar,10:26:26 NPK
137,Kolhapur,Black,50,25,25,6.5,700,30,Jowar,10:26:26 NPK
138,Kolhapur,Black,40,20,25,7.0,800,25,Jowar,10:26:26 NPK
141,Kolhapur,Black,40,25,20,7.5,600,30,Jowar,10:26:26 NPK
142,Kolhapur,Black,45,25,20,7.5,600,30,Jowar,10:26:26 NPK
143,Kolhapur,Black,50,25,20,7.5,600,30,Jowar,10:26:26 NPK
144,Kolhapur,Red ,100,40,50,6.0,800,25,Cotton,DAP
146,Kolhapur,Red ,110,40,50,6.0,800,25,Cotton,DAP
148,Kolhapur,Red ,120,40,50,6.0,800,25,Cotton,DAP
150,Kolhapur,Red ,130,40,50,6.0,800,25,Cotton,DAP
151,Kolhapur,Red ,135,40,50,6.0,800,25,Cotton,DAP
