,Unnamed: 0,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop_Fertilizer
0,0,Kolhapur,Black,75,50,100,6.5,1000,20,"Sugarcane, Urea"
1,1,Kolhapur,Black,80,50,100,6.5,1000,20,"Sugarcane, Urea"
2,2,Kolhapur,Black,85,50,100,6.5,1000,20,"Sugarcane, Urea"
3,4,Kolhapur,Black,95,50,100,6.5,1000,20,"Sugarcane, Urea"
4,7,Kolhapur,Black,80,55,105,7.0,1100,25,"Sugarcane, Urea"
5,8,Kolhapur,Black,85,55,105,7.0,1100,25,"Sugarcane, Urea"
6,9,Kolhapur,Black,90,55,105,7.0,1100,25,"Sugarcane, Urea"
7,10,Kolhapur,Black,95,55,105,7.0,1100,25,"Sugarcane, Urea"
8,12,Kolhapur,Black,75,60,110,7.5,1200,30,"Sugarcane, Urea"
9,13,Kolhapur,Black,80,60,110,7.5,1200,30,"Sugarcane, Urea"
10,14,Kolhapur,Black,85,60,110,7.5,1200,30,"Sugarcane, Urea"
11,16,Kolhapur,Black,95,60,110,7.5,1200,30,"Sugarcane, Urea"
12,18,Kolhapur,Black,75,50,115,6.5,1300,35,"Sugarcane, Urea"
13,20,Kolhapur,Black,85,50,115,6.5,1300,35,"Sugarcane, Urea"
14,21,Kolhapur,Black,90,50,115,6.5,1300,35,"Sugarcane, Urea"
15,22,Kolhapur,Black,95,50,115,6.5,1300,35,"Sugarcane, Urea"
16,25,Kolhapur,Black,80,55,100,7.0,1400,20,"Sugarcane, DAP"
17,28,Kolhapur,Black,95,55,100,7.0,1400,20,"Sugarcane, DAP"
18,32,Kolhapur,Black,85,60,105,7.5,1500,25,"Sugarcane, DAP"
19,35,Kolhapur,Black,100,60,105,7.5,1500,25,"Sugarcane, DAP"
20,37,Kolhapur,Black,80,50,110,6.5,1000,30,"Sugarcane, DAP"
21,38,Kolhapur,Black,85,50,110,6.5,1000,30,"Sugarcane, DAP"
22,39,Kolhapur,Black,90,50,110,6.5,1000,30,"Sugarcane, DAP"
23,40,Kolhapur,Black,95,50,110,6.5,1000,30,"Sugarcane, DAP"
24,41,Kolhapur,Black,100,50,110,6.5,1000,30,"Sugarcane, DAP"
25,43,Kolhapur,Black,80,55,115,7.0,1100,35,"Sugarcane, DAP"
26,45,Kolhapur,Black,90,55,115,7.0,1100,35,"Sugarcane, DAP"
27,46,Kolhapur,Black,95,55,115,7.0,1100,35,"Sugarcane, DAP"
28,48,Kolhapur,Black,75,60,100,7.5,1200,20,"Sugarcane, MOP"
29,50,Kolhapur,Black,85,60,100,7.5,1200,20,"Sugarcane, MOP"
30,55,Kolhapur,Black,80,50,105,6.5,1300,25,"Sugarcane, MOP"
31,60,Kolhapur,Black,75,55,110,7.0,1400,30,"Sugarcane, MOP"
32,62,Kolhapur,Black,85,55,110,7.0,1400,30,"Sugarcane, MOP"
33,63,Kolhapur,Black,90,55,110,7.0,1400,30,"Sugarcane, MOP"
34,64,Kolhapur,Black,95,55,110,7.0,1400,30,"Sugarcane, MOP"
35,65,Kolhapur,Black,100,55,110,7.0,1400,30,"Sugarcane, MOP"
36,67,Kolhapur,Black,80,60,115,7.5,1500,35,"Sugarcane, MOP"
37,68,Kolhapur,Black,85,60,115,7.5,1500,35,"Sugarcane, MOP"
38,70,Kolhapur,Black,95,60,115,7.5,1500,35,"Sugarcane, MOP"
39,71,Kolhapur,Black,100,60,115,7.5,1500,35,"Sugarcane, MOP"
40,73,Kolhapur,Black,25,25,25,6.5,600,25,"Jowar, 10:26:26 NPK"
41,75,Kolhapur,Black,35,25,25,6.5,600,25,"Jowar, 10:26:26 NPK"
42,76,Kolhapur,Black,40,25,25,6.5,600,25,"Jowar, 10:26:26 NPK"
43,79,Kolhapur,Black,30,30,30,7.0,700,30,"Jowar, 10:26:26 NPK"
44,80,Kolhapur,Black,35,30,30,7.0,700,30,"Jowar, 10:26:26 NPK"
45,81,Kolhapur,Black,40,30,30,7.0,700,30,"Jowar, 10:26:26 NPK"
